Date,Price
1/1/1988,98.2818
4/1/1988,100.4219
7/1/1988,102.6592
10/1/1988,104.4655
1/1/1989,103.883
4/1/1989,104.2523
7/1/1989,108.5327
10/1/1989,109.4143
1/1/1990,106.9434
4/1/1990,107.0528
7/1/1990,108.5765
10/1/1990,109.0693
1/1/1991,111.8242
4/1/1991,114.5131
7/1/1991,116.1609
10/1/1991,118.3655
1/1/1992,119.4162
4/1/1992,119.7005
7/1/1992,117.7089
10/1/1992,116.3964
1/1/1993,113.8104
4/1/1993,113.2532
7/1/1993,111.5547
10/1/1993,110.1554
1/1/1994,109.1782
4/1/1994,108.1784
7/1/1994,108.7752
10/1/1994,109.1852
1/1/1995,106.9229
4/1/1995,105.8389
7/1/1995,105.7777
10/1/1995,105.566
1/1/1996,105.0335
4/1/1996,104.3811
7/1/1996,104.1473
10/1/1996,104.6188
1/1/1997,104.7205
4/1/1997,105.1874
7/1/1997,106.4417
10/1/1997,107.074
1/1/1998,106.9811
4/1/1998,106.943
7/1/1998,108.0622
10/1/1998,109.2191
1/1/1999,112.6323
4/1/1999,113.4019
7/1/1999,116.3277
10/1/1999,116.7962
1/1/2000,118.7076
4/1/2000,119.5799
7/1/2000,120.508
10/1/2000,122.1871
1/1/2001,122.0037
4/1/2001,121.7378
7/1/2001,121.5652
10/1/2001,120.5884
1/1/2002,120.052
4/1/2002,118.459
7/1/2002,117.3813
10/1/2002,116.104
1/1/2003,116.1087
4/1/2003,115.4209
7/1/2003,115.7929
10/1/2003,114.8392
1/1/2004,114.8505
4/1/2004,113.2547
7/1/2004,113.5898
10/1/2004,112.6822
1/1/2005,112.6295
4/1/2005,113.0473
7/1/2005,114.7814
10/1/2005,113.8377
1/1/2006,113.4216
4/1/2006,112.212
7/1/2006,112.274
10/1/2006,112.0193
1/1/2007,112.2447
4/1/2007,109.8157
7/1/2007,111.0735
10/1/2007,108.0422
1/1/2008,103.3859
4/1/2008,101.9253
7/1/2008,99.3672
10/1/2008,98.2116
1/1/2009,100.0276
4/1/2009,100.2976
7/1/2009,101.0263
10/1/2009,101.1617
1/1/2010,101.6861
4/1/2010,100.725
7/1/2010,99.6734
10/1/2010,97.9586
1/1/2011,95.945
4/1/2011,92.6038
7/1/2011,91.332
10/1/2011,87.2035
1/1/2012,85.1988
4/1/2012,82.6223
7/1/2012,81.938
10/1/2012,82.0815
1/1/2013,81.1726
4/1/2013,80.0374
7/1/2013,80.8308
10/1/2013,82.6428
1/1/2014,84.541
4/1/2014,85.0492
7/1/2014,85.2614
10/1/2014,84.5574
1/1/2015,85.3079
4/1/2015,86.9233
7/1/2015,87.5167
10/1/2015,88.302
1/1/2016,90.7366
4/1/2016,91.9878
7/1/2016,93.5646
10/1/2016,94.27
1/1/2017,96.5625
4/1/2017,97.9715
7/1/2017,102.1503
10/1/2017,102.6476
1/1/2018,107.5537
4/1/2018,107.9185
7/1/2018,109.2675
10/1/2018,111.2915
1/1/2019,116.5755
4/1/2019,117.5135
7/1/2019,121.2252
10/1/2019,122.5313
1/1/2020,128.4041
4/1/2020,129.3041
7/1/2020,129.6169
10/1/2020,132.5093
1/1/2021,136.3332
4/1/2021,138.3465
7/1/2021,142.4168
10/1/2021,144.4167
1/1/2022,147.6512
4/1/2022,144.9951
7/1/2022,147.7046
10/1/2022,146.3205
1/1/2023,148.6117
4/1/2023,151.0659
7/1/2023,153.5731
10/1/2023,155.1652
1/1/2024,155.5623
4/1/2024,158.609
